PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Activity Summary,Ratio Activity,Ratio Potency (uM),Ratio Efficacy (%),530 nm Activity,530 nm Potency (uM),530 nm Efficacy (%),460 nm Activity,460 nm Potency (uM),460 nm Efficacy (%),Viability Activity,Viability Potency (uM),Viability Efficacy (%),Sample Source
RESULT_TYPE,,,,,,,,STRING,STRING,FLOAT,FLOAT,STRING,FLOAT,FLOAT,STRING,FLOAT,FLOAT,STRING,FLOAT,FLOAT,STRING
RESULT_DESCR,,,,,,,,Type of compound activity based on both the AR antagonist mode screen and the cell viability counter screens.,Type of compound activity in the ratio readout of the AR antagonist mode screen.,The concentration of sample yielding half-maximal inhibition in the ratio readout of the AR antagonist mode screen.,Percent inhibition in the ratio readout of the AR antagonist mode screen.,Type of compound activity in the 530 nm readout of the AR antagonist mode screen.,The concentration of sample yielding half-maximal inhibition in the 530 nm readout of the AR antagonist mode screen.,Percent inhibition in the 530 nm readout of the AR antagonist mode screen.,Type of compound activity in the 460 nm readout of the AR antagonist mode screen.,The concentration of sample yielding half-maximal inhibition in the 460 nm readout of the AR antagonist mode screen.,Percent inhibition in the 460 nm readout of the AR antagonist mode screen.,Type of compound activity in the cell viability counter screens.,The concentration of sample yielding half-maximal inhibition in the cell viability counter screen.,Percent inhibition in the cell viability counter screen.,Where sample was obtained.
RESULT_UNIT,,,,,,,,NONE,NONE,MICROMOLAR,PERCENT,NONE,MICROMOLAR,PERCENT,NONE,MICROMOLAR,PERCENT,NONE,MICROMOLAR,PERCENT,NONE
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,,,TRUE,,,,,,,,,,,
1,144203552,12850184,C(C(=O)[C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O.C(C(=O)[C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O.[Ca+2],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
2,144203553,89753,C([C@H]([C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O)O.C([C@H]([C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O)O.[Ba+2],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive antagonist,,,NCI
3,144203554,9403,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2OC(=O)CCC4CCCC4)CCC5=C3C=CC(=C5)O,Active,52,,,active antagonist,active antagonist,1.11001,-31.1168,inactive,,0,inconclusive antagonist,1.19856,-38.1878,inactive,,0,NCI
4,144203555,13218779,C[C@@]12CC[C@@H](C1(C)C)C[C@H]2OC(=O)CSC#N,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
5,144203556,142766,C1=CC=C(C(=C1)C(=O)O)O.C1=CC2=C(C(=C1)O)N=CC=C2,Inconclusive,25,,,inconclusive antagonist (cytotoxic),active antagonist,16.2927,-106.542,inconclusive agonist,13.4481,27.2643,active antagonist,16.9301,-130.2,active antagonist,13.9742,-70.9253,NCI
6,144203557,16043,CC(C)(C)C1=C(C=CC(=C1)O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
7,144203558,16043,CC(C)(C)C1=C(C=CC(=C1)O)O,Inconclusive,25,,,inconclusive antagonist (cytotoxic),active antagonist,18.9959,-117.104,inactive,,0,active antagonist,23.0141,-130.842,active antagonist,26.8325,-100.837,SigmaAldrich
