2023-02-17 18:49:04,702 INFO    MainThread:813 [wandb_setup.py:_flush():68] Configure stats pid to 813
2023-02-17 18:49:04,703 INFO    MainThread:813 [wandb_setup.py:_flush():68] Loading settings from /home/susan/.config/wandb/settings
2023-02-17 18:49:04,703 INFO    MainThread:813 [wandb_setup.py:_flush():68] Loading settings from /mnt/c/Users/susan/git/HEA-Toxicity-Prediction/wandb/settings
2023-02-17 18:49:04,703 INFO    MainThread:813 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2023-02-17 18:49:04,703 INFO    MainThread:813 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'runner.py', 'program': '/mnt/c/Users/susan/git/HEA-Toxicity-Prediction/runner.py'}
2023-02-17 18:49:04,707 INFO    MainThread:813 [wandb_init.py:_log_setup():492] Logging user logs to /mnt/c/Users/susan/git/HEA-Toxicity-Prediction/wandb/run-20230217_184904-tw02bpsy/logs/debug.log
2023-02-17 18:49:04,707 INFO    MainThread:813 [wandb_init.py:_log_setup():493] Logging internal logs to /mnt/c/Users/susan/git/HEA-Toxicity-Prediction/wandb/run-20230217_184904-tw02bpsy/logs/debug-internal.log
2023-02-17 18:49:04,707 INFO    MainThread:813 [wandb_init.py:init():532] calling init triggers
2023-02-17 18:49:04,707 INFO    MainThread:813 [wandb_init.py:init():538] wandb.init called with sweep_config: {}
config: {'batch_size': 64, 'epochs': 150, 'learning_rate': 0.002, 'architecture': 'NN', 'datset': 'Full'}
2023-02-17 18:49:04,707 INFO    MainThread:813 [wandb_init.py:init():588] starting backend
2023-02-17 18:49:04,707 INFO    MainThread:813 [wandb_init.py:init():592] setting up manager
2023-02-17 18:49:04,710 INFO    MainThread:813 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-02-17 18:49:04,713 INFO    MainThread:813 [wandb_init.py:init():599] backend started and connected
2023-02-17 18:49:04,715 INFO    MainThread:813 [wandb_init.py:init():687] updated telemetry
2023-02-17 18:49:04,762 INFO    MainThread:813 [wandb_init.py:init():727] communicating run to backend with 60.0 second timeout
2023-02-17 18:49:05,077 INFO    MainThread:813 [wandb_run.py:_on_init():2134] communicating current version
2023-02-17 18:49:05,189 INFO    MainThread:813 [wandb_run.py:_on_init():2143] got version response 
2023-02-17 18:49:05,189 INFO    MainThread:813 [wandb_init.py:init():775] starting run threads in backend
2023-02-17 18:49:06,786 INFO    MainThread:813 [wandb_run.py:_console_start():2114] atexit reg
2023-02-17 18:49:06,786 INFO    MainThread:813 [wandb_run.py:_redirect():1969] redirect: SettingsConsole.WRAP_RAW
2023-02-17 18:49:06,786 INFO    MainThread:813 [wandb_run.py:_redirect():2034] Wrapping output streams.
2023-02-17 18:49:06,788 INFO    MainThread:813 [wandb_run.py:_redirect():2059] Redirects installed.
2023-02-17 18:49:06,788 INFO    MainThread:813 [wandb_init.py:init():817] run started, returning control to user process
